Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2023-12-22 20:37:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7144063493967695872,"💡 ¡Inicia tu Trayectoria en Cosys Global! 💡""
""""
""¿Eres un Desarrollador Fullstack Java Angular Senior? ¡Esta es tu oportunidad de brillar con nosotros! 💻✨""
""""
""Requisitos:""
""""
""+2 años de experiencia en JQuery, Bootstrap, CSS, JavaScript y Angular.""
""Especialización en el desarrollo de aplicaciones web con tecnología Java.""
""Residencia en Madrid y disponibilidad para asistir presencialmente en eventos especiales.""
""Únete a un equipo que valora la innovación y el crecimiento profesional. Envía tu CV al siguiente link https://lnkd.in/dKcszem5""
""""
""¡Construyamos el futuro juntos! 🌐💼""
""#CosysOpportunity #BusquedaDeEmpleo #Empleoit #DesarrolladorFullstack #JavaAngular #InnovacionTecnologica #Madrid #Remoto #HomeOffice 🚀🏡""
""",,,MEMBER_NETWORK
2023-12-22 20:35:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7144062815958474753,"¡Excelente oportunidad laboral en Cosys Global! 👩‍💻🌐""
""""
""Estamos en búsqueda de un Analista de E-Commerce para unirse a nuestro equipo innovador. 🚀 ""
""""
""Si buscas crecer profesionalmente, ¡esta es tu oportunidad! Envianos tu C.V ahttps://lnkd.in/d65baCnK""
""""
"" #CosysHiring #EmpleoIT #BusquedaDeEmpleo #Cosys #HomeOffice #Remoto #GrupoKELSOFT #Hiring #EmpleoDigital 🌟",,,MEMBER_NETWORK
2023-12-21 20:12:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7143694776230490112,"🚀 ¡Oportunidad Laboral! 🚀""
""""
""En Cosys Global estamos en busca de un Desarrollador Fullstack Java Angular Senior para unirse a nuestro talentoso equipo. ¡Súmate a nuestra familia tecnológica! 🌐💻""
""""
""Requisitos:""
""""
""+2 años de experiencia con JQuery, Bootstrap, CSS, JavaScript y Angular.""
""Desarrollo de aplicaciones web con tecnología Java.""
""Residir en Madrid con disponibilidad para asistir presencialmente ocasionalmente.""
""¡Conviértete en parte de nuestro equipo innovador! Envía tu CV a  https://lnkd.in/drxGWGub. 📧👩‍💻👨‍💻""
""""
""#CosysHiring #BusquedaDeEmpleo #Empleoit #Cosys #DesarrolladorFullstack #JavaAngular #Tecnologia #Madrid #Remoto #HomeOffice 🌍🏡",,,MEMBER_NETWORK
2023-12-21 20:11:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7143694385954684928,"🚀 ¡Oportunidad Laboral en Cosys Global! Estamos en búsqueda de Desarrolladores ABAP Sr. con al menos 5 años de experiencia.""
""""
""✨ Detalles del puesto:""
""""
""Disponibilidad full time, de 11 a 20 hs ⌚""
""Proyecto emocionante de 6 meses 🗓️""
""Ingreso inmediato 💼""
""""
""Si cumples con estos requisitos y buscas un nuevo desafío, ¡queremos conocerte! Envía tu CV a  https://lnkd.in/dmsZH3qG""
""""
""#CosysHiring #Empleoit #BusquedaDeEmpleo #Remoto #HomeOffice #Cosys #GrupoKELSOFT #Hiring 🌐👩‍💻""
""",,,MEMBER_NETWORK
2023-12-21 20:03:05,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3732032-7143692373204676608,"¡Actualiza tus habilidades con nuestro curso de IT School SAP Fiori! 🚀""
""""
""💼 Descubre las claves para diseñar experiencias de usuario excepcionales y optimizar procesos empresariales. 💻 ¡Impulsa tu carrera en tecnología con nosotros! 🌐 ""
""""
""¡No te pierdas esta oportunidad para impulsar tu carrera! 🔗 Enlace de registro: https://itschool.com.ar/ 🌐 ¡Te esperamos! 👩‍💻👨‍💻""
""""
""#ITSchool #SAPFiori #Tecnología #FormaciónTI #CosysHiring #EmpleoIT #DesarrolloProfesional",,,MEMBER_NETWORK
2023-12-21 20:02:59,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7143692347409707008,"¡Actualiza tus habilidades con nuestro curso de IT School SAP Fiori! 🚀""
""""
""💼 Descubre las claves para diseñar experiencias de usuario excepcionales y optimizar procesos empresariales. 💻 ¡Impulsa tu carrera en tecnología con nosotros! 🌐 ""
""""
""¡No te pierdas esta oportunidad para impulsar tu carrera! 🔗 Enlace de registro: https://itschool.com.ar/ 🌐 ¡Te esperamos! 👩‍💻👨‍💻""
""""
""#ITSchool #SAPFiori #Tecnología #FormaciónTI #CosysHiring #EmpleoIT #DesarrolloProfesional",,,MEMBER_NETWORK
2023-12-20 21:04:23,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6613456-7143345413482352640,"🚀 ¡Oportunidad de Empleo en Cosys Global! 🌐✨""
""""
""¿Eres un apasionado Desarrollador ABAP en busca de nuevos retos? 🚀 ¡Esta es tu oportunidad para unirte a nuestro equipo innovador en Cosys Global! 💼✨""
""""
""Envía tu CV a https://lnkd.in/dmsZH3qG y sé parte de nuestro viaje tecnológico. ¡Esperamos conocerte! 👩‍💻👨‍💻""
""""
""#BuscoEmpleo #CosysHiring #DesarrolladorABAP #Empleoit #Cosys #GrupoKELSOFT #Hiring #Remoto #HomeOffice 🏡🌍",,,MEMBER_NETWORK
2023-12-20 21:04:14,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6613456-7143345373376413696,"🚀 ¡Explora nuevas oportunidades en el mundo del desarrollo! 🌐""
""""
""Si eres un apasionado Desarrollador Full Stack con expertise en JavaScript, ¡queremos conocerte! 🚀 Únete a nuestro equipo en Cosys Global y sé parte de proyectos emocionantes desde la comodidad de tu hogar. 💼✨""
""""
""Envianos tu CV 👉 https://lnkd.in/drxGWGub y se parte de nuestro equipo 😎""
""#BuscoEmpleo #EmpleoIT #CosysHiring #DesarrolladorFullStack #JavaScript #Remoto #HomeOffice #Cosys #GrupoKELSOFT #Hiring 🌟",,,MEMBER_NETWORK
2023-12-20 21:04:00,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A4402740-7143345317814456320,"🚀 ¡Explora nuevas oportunidades en el mundo del desarrollo! 🌐""
""""
""Si eres un apasionado Desarrollador Full Stack con expertise en JavaScript, ¡queremos conocerte! 🚀 Únete a nuestro equipo en Cosys Global y sé parte de proyectos emocionantes desde la comodidad de tu hogar. 💼✨""
""""
""Envianos tu CV 👉 https://lnkd.in/drxGWGub y se parte de nuestro equipo 😎""
""#BuscoEmpleo #EmpleoIT #CosysHiring #DesarrolladorFullStack #JavaScript #Remoto #HomeOffice #Cosys #GrupoKELSOFT #Hiring 🌟",,,MEMBER_NETWORK
2023-12-20 21:03:51,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A4402740-7143345278031495168,"🚀 ¡Oportunidad de Empleo en Cosys Global! 🌐✨""
""""
""¿Eres un apasionado Desarrollador ABAP en busca de nuevos retos? 🚀 ¡Esta es tu oportunidad para unirte a nuestro equipo innovador en Cosys Global! 💼✨""
""""
""Envía tu CV a https://lnkd.in/dmsZH3qG y sé parte de nuestro viaje tecnológico. ¡Esperamos conocerte! 👩‍💻👨‍💻""
""""
""#BuscoEmpleo #CosysHiring #DesarrolladorABAP #Empleoit #Cosys #GrupoKELSOFT #Hiring #Remoto #HomeOffice 🏡🌍",,,MEMBER_NETWORK
